time,location,message,error
2026-01-21-12:19:42,Andorra,world,None
2026-01-21-12:20:01,Andorra,url exists,None
2026-01-21-12:20:03,Andorra,world,None
2026-01-25-22:29:37,Andorra,url exists,None
2026-01-25-22:30:40,Andorra,url exists,None
2026-01-25-22:31:35,Andorra,url exists,None
2026-01-25-22:52:51,Andorra,url exists,None
2026-01-25-22:53:06,Andorra,url exists,None
2026-01-25-22:55:00,Andorra,url exists,None
2026-01-25-22:55:08,Andorra,url exists,None
2026-01-25-22:55:45,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-25-22:56:57,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-25-22:58:04,Andorra,url exists,None
2026-01-25-22:59:10,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-25-22:59:47,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-26-05:00:32,Andorra,world,None
2026-01-26-05:00:44,Andorra,url exists,None
2026-01-26-05:00:51,Andorra,url exists,None
2026-01-26-05:01:08,Andorra,url exists,None
2026-01-26-05:02:06,Andorra,url exists,None
2026-01-26-05:02:20,Andorra,url exists,None
2026-01-26-05:02:57,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-26-05:03:34,Andorra,url exists,None
2026-01-26-05:03:41,Andorra,url exists,None
2026-01-26-07:06:29,Andorra,url exists,None
2026-01-26-07:06:42,Andorra,url exists,None
2026-01-26-07:06:57,Andorra,url exists,None
2026-01-26-07:07:04,Andorra,url exists,None
2026-01-26-07:07:15,Andorra,url exists,None
2026-01-26-07:07:29,Andorra,url exists,None
2026-01-26-07:07:44,Andorra,url exists,None
2026-01-26-07:07:57,Andorra,url exists,None
2026-01-26-07:08:08,Andorra,url exists,None
2026-01-26-07:08:29,Andorra,url exists,None
2026-01-26-07:09:06,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-26-07:09:43,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-26-07:09:50,Andorra,url exists,None
2026-01-26-07:10:15,Andorra,url exists,None
2026-01-26-07:10:32,Andorra,url exists,None
2026-01-26-07:10:32,Andorra,no images,None
2026-01-26-10:00:09,Andorra,world,None
2026-01-26-10:00:16,Andorra,url exists,None
2026-01-26-10:00:52,Andorra,url exists,None
2026-01-26-10:01:29,Andorra,no popup,Timeout 30000ms exceeded.
2026-01-26-10:02:06,Andorra,url exists,None
2026-01-26-10:02:13,Andorra,url exists,None
2026-01-26-10:02:24,Andorra,url exists,None
2026-01-26-10:02:35,Andorra,url exists,None
2026-01-26-10:02:42,Andorra,url exists,None
2026-01-26-10:02:49,Andorra,url exists,None
2026-01-26-10:03:33,Andorra,url exists,None
2026-01-26-10:03:34,Andorra,world,None
2026-01-26-14:03:29,Andorra,url exists,None
2026-01-26-14:03:36,Andorra,url exists,None
2026-01-26-14:04:12,Andorra,url exists,None
