time,location,message,error
2026-01-21-12:35:02,Kenya,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-21-12:35:32,Kenya,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-25-22:57:15,Kenya,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-25-22:57:45,Kenya,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-25-22:58:26,Kenya,url exists,None
2026-01-25-23:01:12,Kenya,url exists,None
2026-01-25-23:01:13,Kenya,world,None
2026-01-25-23:02:07,Kenya,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-25-23:02:37,Kenya,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-25-23:03:36,Kenya,url exists,None
2026-01-26-04:37:49,Kenya,url exists,None
2026-01-26-04:38:37,Kenya,url exists,None
2026-01-26-04:38:54,Kenya,url exists,None
2026-01-26-04:39:21,Kenya,url exists,None
2026-01-26-04:39:32,Kenya,url exists,None
2026-01-26-04:40:28,Kenya,no popup,Timeout 30000ms exceeded.
2026-01-26-04:40:42,Kenya,url exists,None
2026-01-26-04:41:31,Kenya,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:42:01,Kenya,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:42:17,Kenya,url exists,None
2026-01-26-07:06:51,Kenya,url exists,None
2026-01-26-07:07:51,Kenya,url exists,None
2026-01-26-07:07:58,Kenya,url exists,None
2026-01-26-07:09:12,Kenya,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:09:42,Kenya,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:10:26,Kenya,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:10:56,Kenya,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:11:27,Kenya,url exists,None
2026-01-26-07:11:44,Kenya,url exists,None
2026-01-26-07:12:02,Kenya,url exists,None
2026-01-26-07:12:19,Kenya,url exists,None
