time,location,message,error
2026-01-21-17:19:24,Qatar,url exists,None
2026-01-25-22:58:47,Qatar,url exists,None
2026-01-25-22:59:32,Qatar,url exists,None
2026-01-26-05:02:59,Qatar,url exists,None
2026-01-26-10:14:40,Qatar,url exists,None
2026-01-26-10:15:15,Qatar,url exists,None
2026-01-26-10:15:22,Qatar,url exists,None
2026-01-26-10:15:30,Qatar,url exists,None
2026-01-26-10:16:10,Qatar,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:16:40,Qatar,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:16:47,Qatar,url exists,None
2026-01-26-10:17:38,Qatar,url exists,None
2026-01-26-10:17:49,Qatar,url exists,None
2026-01-26-14:03:42,Qatar,url exists,None
2026-01-26-14:05:03,Qatar,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:05:33,Qatar,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:05:39,Qatar,url exists,None
2026-01-26-14:06:19,Qatar,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:06:49,Qatar,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:08:06,Qatar,url exists,None
