time,location,message,error
2026-01-21-14:05:23,San Marino,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-21-14:05:53,San Marino,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-21-14:06:37,San Marino,url exists,None
2026-01-25-22:46:32,San Marino,url exists,None
2026-01-25-22:48:23,San Marino,url exists,None
2026-01-25-22:49:00,San Marino,no popup,Timeout 30000ms exceeded.
2026-01-25-22:49:12,San Marino,url exists,None
2026-01-25-22:49:21,San Marino,url exists,None
2026-01-26-04:55:35,San Marino,url exists,None
2026-01-26-04:55:46,San Marino,url exists,None
2026-01-26-04:56:43,San Marino,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:57:13,San Marino,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:57:15,San Marino,world,None
2026-01-26-04:57:31,San Marino,url exists,None
2026-01-26-04:58:22,San Marino,url exists,None
2026-01-26-04:59:08,San Marino,url exists,None
2026-01-26-07:12:03,San Marino,url exists,None
2026-01-26-07:12:16,San Marino,url exists,None
2026-01-26-07:13:41,San Marino,url exists,None
2026-01-26-07:15:14,San Marino,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:15:44,San Marino,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:15:55,San Marino,url exists,None
2026-01-26-07:16:12,San Marino,url exists,None
2026-01-26-07:16:19,San Marino,url exists,None
2026-01-26-07:16:26,San Marino,url exists,None
2026-01-26-07:16:34,San Marino,url exists,None
2026-01-26-07:16:54,San Marino,url exists,None
2026-01-26-10:08:33,San Marino,url exists,None
2026-01-26-10:08:54,San Marino,url exists,None
2026-01-26-10:09:01,San Marino,url exists,None
2026-01-26-10:09:24,San Marino,url exists,None
2026-01-26-10:09:31,San Marino,url exists,None
2026-01-26-10:09:38,San Marino,url exists,None
2026-01-26-10:09:46,San Marino,url exists,None
2026-01-26-10:09:57,San Marino,url exists,None
2026-01-26-10:10:04,San Marino,url exists,None
2026-01-26-10:10:41,San Marino,no popup,Timeout 30000ms exceeded.
2026-01-26-10:11:25,San Marino,url exists,None
2026-01-26-14:11:27,San Marino,url exists,None
2026-01-26-14:12:07,San Marino,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:12:37,San Marino,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:12:44,San Marino,url exists,None
2026-01-26-14:12:51,San Marino,url exists,None
2026-01-26-14:12:59,San Marino,url exists,None
2026-01-26-14:14:08,San Marino,url exists,None
2026-01-26-14:14:18,San Marino,url exists,None
2026-01-26-14:14:46,San Marino,url exists,None
2026-01-26-14:14:53,San Marino,url exists,None
2026-01-26-14:15:05,San Marino,url exists,None
2026-01-26-14:15:12,San Marino,url exists,None
2026-01-26-15:58:00,San Marino,url exists,None
2026-01-26-15:58:07,San Marino,url exists,None
2026-01-26-15:58:14,San Marino,url exists,None
2026-01-26-15:58:22,San Marino,url exists,None
2026-01-26-15:58:48,San Marino,url exists,None
2026-01-26-15:58:55,San Marino,url exists,None
2026-01-26-15:59:28,San Marino,url exists,None
2026-01-26-15:59:40,San Marino,url exists,None
