time,location,message,error
2026-01-21-13:55:24,Hungary,url exists,None
2026-01-25-22:45:29,Hungary,url exists,None
2026-01-25-22:47:50,Hungary,url exists,None
2026-01-26-04:39:43,Hungary,url exists,None
2026-01-26-04:39:52,Hungary,url exists,None
2026-01-26-04:40:08,Hungary,url exists,None
2026-01-26-04:40:47,Hungary,world,None
2026-01-26-07:22:01,Hungary,url exists,None
2026-01-26-07:22:24,Hungary,url exists,None
2026-01-26-07:22:41,Hungary,url exists,None
2026-01-26-07:25:46,Hungary,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:26:16,Hungary,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:05:29,Hungary,url exists,None
2026-01-26-10:05:36,Hungary,url exists,None
2026-01-26-10:05:43,Hungary,url exists,None
2026-01-26-10:05:50,Hungary,url exists,None
2026-01-26-10:06:00,Hungary,url exists,None
2026-01-26-13:58:42,Hungary,url exists,None
2026-01-26-13:59:51,Hungary,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:00:21,Hungary,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-14:00:56,Hungary,url exists,None
2026-01-26-14:01:20,Hungary,url exists,None
2026-01-26-14:01:45,Hungary,url exists,None
2026-01-26-14:01:53,Hungary,url exists,None
2026-01-26-16:12:59,Hungary,url exists,None
2026-01-26-16:13:21,Hungary,url exists,None
2026-01-26-16:13:56,Hungary,world,None
2026-01-26-16:14:21,Hungary,url exists,None
2026-01-26-16:15:42,Hungary,url exists,None
2026-01-26-16:15:50,Hungary,url exists,None
2026-01-26-19:11:55,Hungary,url exists,None
2026-01-26-19:12:48,Hungary,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-19:13:18,Hungary,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-19:13:53,Hungary,url exists,None
2026-01-26-19:14:00,Hungary,url exists,None
2026-01-26-19:14:45,Hungary,url exists,None
2026-01-26-19:14:53,Hungary,url exists,None
2026-01-26-19:15:04,Hungary,url exists,None
2026-01-26-19:15:40,Hungary,url exists,None
2026-01-26-21:55:22,Hungary,url exists,None
2026-01-26-21:55:46,Hungary,url exists,None
2026-01-26-21:56:09,Hungary,url exists,None
2026-01-26-21:56:18,Hungary,url exists,None
2026-01-26-21:56:25,Hungary,url exists,None
2026-01-26-21:56:48,Hungary,url exists,None
2026-01-26-21:56:56,Hungary,url exists,None
2026-01-26-21:57:29,Hungary,url exists,None
2026-01-26-21:57:36,Hungary,url exists,None
2026-01-26-21:58:13,Hungary,url exists,None
2026-01-26-21:58:28,Hungary,url exists,None
2026-01-27-04:24:13,Hungary,url exists,None
2026-01-27-04:24:20,Hungary,url exists,None
2026-01-27-04:24:27,Hungary,url exists,None
2026-01-27-04:24:54,Hungary,url exists,None
2026-01-27-04:25:25,Hungary,url exists,None
2026-01-27-04:25:35,Hungary,url exists,None
2026-01-27-04:26:11,Hungary,url exists,None
2026-01-27-04:26:22,Hungary,url exists,None
2026-01-27-04:26:29,Hungary,url exists,None
2026-01-27-04:27:06,Hungary,no popup,Timeout 30000ms exceeded.
2026-01-27-04:27:24,Hungary,url exists,None
2026-01-27-04:27:40,Hungary,url exists,None
