time,location,message,error
2026-01-21-17:11:41,Bulgaria,world,None
2026-01-21-17:11:55,Bulgaria,world,None
2026-01-25-22:42:59,Bulgaria,world,None
2026-01-26-04:46:12,Bulgaria,url exists,None
2026-01-26-07:07:02,Bulgaria,url exists,None
2026-01-26-07:07:41,Bulgaria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:08:11,Bulgaria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:09:05,Bulgaria,url exists,None
2026-01-26-07:10:44,Bulgaria,url exists,None
2026-01-26-07:11:12,Bulgaria,url exists,None
2026-01-26-10:06:41,Bulgaria,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:07:11,Bulgaria,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:07:43,Bulgaria,url exists,None
