time,location,message,error
2026-01-21-13:55:10,Botswana,url exists,None
2026-01-21-13:55:17,Botswana,url exists,None
2026-01-21-13:55:24,Botswana,url exists,None
2026-01-25-22:48:08,Botswana,url exists,None
2026-01-25-22:48:29,Botswana,url exists,None
2026-01-25-22:50:21,Botswana,url exists,None
2026-01-26-04:37:41,Botswana,url exists,None
2026-01-26-04:38:03,Botswana,url exists,None
2026-01-26-04:38:13,Botswana,url exists,None
2026-01-26-04:38:20,Botswana,url exists,None
2026-01-26-04:38:30,Botswana,url exists,None
2026-01-26-04:39:07,Botswana,no popup,Timeout 30000ms exceeded.
2026-01-26-04:40:45,Botswana,url exists,None
2026-01-26-04:40:52,Botswana,url exists,None
2026-01-26-04:40:59,Botswana,url exists,None
2026-01-26-04:41:22,Botswana,url exists,None
