time,location,message,error
2026-01-21-13:53:56,Albania,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-21-13:54:26,Albania,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-21-13:54:33,Albania,url exists,None
2026-01-21-13:54:53,Albania,url exists,None
2026-01-25-22:29:26,Albania,url exists,None
2026-01-25-22:30:22,Albania,url exists,None
2026-01-25-22:30:59,Albania,no popup,Timeout 30000ms exceeded.
2026-01-25-22:31:13,Albania,url exists,None
2026-01-25-22:38:44,Albania,url exists,None
2026-01-25-22:39:08,Albania,url exists,None
2026-01-25-22:39:15,Albania,url exists,None
2026-01-25-22:39:43,Albania,url exists,None
2026-01-25-22:40:20,Albania,no popup,Timeout 30000ms exceeded.
2026-01-25-22:40:30,Albania,url exists,None
2026-01-25-22:43:54,Albania,url exists,None
2026-01-25-22:44:01,Albania,url exists,None
2026-01-26-04:47:40,Albania,url exists,None
2026-01-26-04:47:54,Albania,url exists,None
2026-01-26-04:48:26,Albania,url exists,None
2026-01-26-04:49:10,Albania,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-04:49:40,Albania,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-04:49:47,Albania,url exists,None
2026-01-26-04:50:18,Albania,url exists,None
2026-01-26-04:50:32,Albania,url exists,None
2026-01-26-04:50:39,Albania,url exists,None
2026-01-26-04:50:46,Albania,url exists,None
2026-01-26-04:51:25,Albania,url exists,None
2026-01-26-07:10:12,Albania,url exists,None
2026-01-26-07:10:32,Albania,url exists,None
2026-01-26-07:10:49,Albania,url exists,None
2026-01-26-07:10:56,Albania,url exists,None
2026-01-26-07:11:11,Albania,url exists,None
2026-01-26-07:11:21,Albania,url exists,None
2026-01-26-07:12:08,Albania,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-07:12:38,Albania,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-07:12:39,Albania,world,None
2026-01-26-07:12:57,Albania,url exists,None
2026-01-26-07:14:00,Albania,url exists,None
2026-01-26-07:14:19,Albania,url exists,None
