time,location,message,error
2026-01-22-04:22:00,Estonia,url exists,None
2026-01-26-04:56:30,Estonia,url exists,None
2026-01-26-04:57:40,Estonia,url exists,None
2026-01-26-07:20:50,Estonia,world,None
2026-01-26-07:23:30,Estonia,url exists,None
2026-01-26-10:20:06,Estonia,url exists,None
2026-01-26-10:21:15,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-10:21:45,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-10:21:52,Estonia,url exists,None
2026-01-26-10:22:00,Estonia,url exists,None
2026-01-26-10:22:08,Estonia,url exists,None
2026-01-26-10:22:39,Estonia,url exists,None
2026-01-26-10:23:32,Estonia,url exists,None
2026-01-26-14:04:19,Estonia,url exists,None
2026-01-26-14:04:57,Estonia,url exists,None
2026-01-26-14:05:38,Estonia,url exists,None
2026-01-26-14:05:39,Estonia,world,None
2026-01-26-14:05:48,Estonia,url exists,None
2026-01-26-14:05:57,Estonia,url exists,None
2026-01-26-14:06:30,Estonia,url exists,None
2026-01-26-14:07:11,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-14:07:41,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-15:58:58,Estonia,url exists,None
2026-01-26-15:59:55,Estonia,url exists,None
2026-01-26-16:00:02,Estonia,url exists,None
2026-01-26-16:00:09,Estonia,url exists,None
2026-01-26-16:00:19,Estonia,url exists,None
2026-01-26-19:06:12,Estonia,url exists,None
2026-01-26-19:07:22,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-19:07:52,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-19:07:59,Estonia,url exists,None
2026-01-26-19:08:24,Estonia,url exists,None
2026-01-26-19:09:28,Estonia,url exists,None
2026-01-26-19:09:59,Estonia,url exists,None
2026-01-26-19:10:10,Estonia,url exists,None
2026-01-26-21:55:37,Estonia,url exists,None
2026-01-26-21:56:31,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-26-21:57:01,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-26-21:57:22,Estonia,url exists,None
2026-01-26-21:57:46,Estonia,url exists,None
2026-01-26-21:59:25,Estonia,url exists,None
2026-01-27-04:24:45,Estonia,url exists,None
2026-01-27-04:24:52,Estonia,url exists,None
2026-01-27-04:25:00,Estonia,url exists,None
2026-01-27-04:25:08,Estonia,url exists,None
2026-01-27-04:25:18,Estonia,url exists,None
2026-01-27-04:25:28,Estonia,url exists,None
2026-01-27-04:26:23,Estonia,url exists,None
2026-01-27-04:26:55,Estonia,url exists,None
2026-01-27-04:27:08,Estonia,url exists,None
2026-01-27-04:27:15,Estonia,url exists,None
2026-01-27-04:27:29,Estonia,url exists,None
2026-01-27-04:27:43,Estonia,url exists,None
2026-01-27-07:05:32,Estonia,url exists,None
2026-01-27-07:05:39,Estonia,url exists,None
2026-01-27-07:05:47,Estonia,url exists,None
2026-01-27-07:05:54,Estonia,url exists,None
2026-01-27-07:06:04,Estonia,url exists,None
2026-01-27-07:07:09,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-07:07:39,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-07:07:46,Estonia,url exists,None
2026-01-27-07:09:29,Estonia,url exists,None
2026-01-27-07:09:36,Estonia,url exists,None
2026-01-27-10:03:34,Estonia,url exists,None
2026-01-27-10:03:41,Estonia,url exists,None
2026-01-27-10:04:05,Estonia,url exists,None
2026-01-27-10:04:30,Estonia,url exists,None
2026-01-27-10:05:10,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-10:05:40,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-10:05:49,Estonia,url exists,None
2026-01-27-10:06:00,Estonia,url exists,None
2026-01-27-10:06:26,Estonia,url exists,None
2026-01-27-10:06:38,Estonia,url exists,None
2026-01-27-10:07:12,Estonia,url exists,None
2026-01-27-14:21:02,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-14:21:32,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-14:21:39,Estonia,url exists,None
2026-01-27-14:22:01,Estonia,url exists,None
2026-01-27-14:22:27,Estonia,url exists,None
2026-01-27-14:22:36,Estonia,url exists,None
2026-01-27-14:22:46,Estonia,url exists,None
2026-01-27-14:22:57,Estonia,url exists,None
2026-01-27-14:23:10,Estonia,url exists,None
2026-01-27-14:23:22,Estonia,url exists,None
2026-01-27-14:23:37,Estonia,url exists,None
2026-01-27-14:24:24,Estonia,url exists,None
2026-01-27-14:24:38,Estonia,url exists,None
2026-01-27-15:58:44,Estonia,url exists,None
2026-01-27-15:59:20,Estonia,url exists,None
2026-01-27-15:59:44,Estonia,url exists,None
2026-01-27-15:59:52,Estonia,url exists,None
2026-01-27-16:00:32,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-16:01:02,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-16:01:03,Estonia,world,None
2026-01-27-16:01:12,Estonia,url exists,None
2026-01-27-16:01:19,Estonia,url exists,None
2026-01-27-16:01:50,Estonia,url exists,None
2026-01-27-16:02:02,Estonia,url exists,None
2026-01-27-19:18:41,Estonia,url exists,None
2026-01-27-19:19:21,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-19:19:51,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-19:19:58,Estonia,url exists,None
2026-01-27-19:20:06,Estonia,url exists,None
2026-01-27-19:20:14,Estonia,url exists,None
2026-01-27-19:20:24,Estonia,url exists,None
2026-01-27-19:20:33,Estonia,url exists,None
2026-01-27-19:20:46,Estonia,url exists,None
2026-01-27-19:20:58,Estonia,url exists,None
2026-01-27-19:21:40,Estonia,url exists,None
2026-01-27-19:22:24,Estonia,url exists,None
2026-01-27-19:22:39,Estonia,url exists,None
2026-01-27-19:22:54,Estonia,url exists,None
2026-01-27-21:40:03,Estonia,url exists,None
2026-01-27-21:40:10,Estonia,url exists,None
2026-01-27-21:40:17,Estonia,url exists,None
2026-01-27-21:40:25,Estonia,url exists,None
2026-01-27-21:40:32,Estonia,url exists,None
2026-01-27-21:41:13,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-27-21:41:43,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-27-21:41:50,Estonia,url exists,None
2026-01-27-21:43:11,Estonia,url exists,None
2026-01-27-21:43:23,Estonia,url exists,None
2026-01-27-21:43:35,Estonia,url exists,None
2026-01-27-21:44:11,Estonia,url exists,None
2026-01-28-04:16:36,Estonia,url exists,None
2026-01-28-04:16:59,Estonia,url exists,None
2026-01-28-04:17:07,Estonia,url exists,None
2026-01-28-04:17:15,Estonia,url exists,None
2026-01-28-04:17:52,Estonia,url exists,None
2026-01-28-04:18:01,Estonia,url exists,None
2026-01-28-04:18:13,Estonia,url exists,None
2026-01-28-04:18:20,Estonia,url exists,None
2026-01-28-04:18:32,Estonia,url exists,None
2026-01-28-04:18:39,Estonia,url exists,None
2026-01-28-04:19:25,Estonia,url exists,None
2026-01-28-04:19:32,Estonia,url exists,None
2026-01-28-04:20:11,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-28-04:20:41,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-28-07:09:16,Estonia,url exists,None
2026-01-28-07:09:23,Estonia,url exists,None
2026-01-28-07:10:05,Estonia,url exists,None
2026-01-28-07:10:50,Estonia,url exists,None
2026-01-28-07:10:59,Estonia,url exists,None
2026-01-28-07:11:09,Estonia,url exists,None
2026-01-28-07:11:21,Estonia,url exists,None
2026-01-28-07:11:33,Estonia,url exists,None
2026-01-28-07:11:44,Estonia,url exists,None
2026-01-28-07:11:57,Estonia,url exists,None
2026-01-28-10:05:15,Estonia,url exists,None
2026-01-28-10:05:55,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-28-10:06:25,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-28-10:06:32,Estonia,url exists,None
2026-01-28-10:06:39,Estonia,url exists,None
2026-01-28-10:07:37,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-28-10:08:07,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-28-10:08:15,Estonia,url exists,None
2026-01-28-10:08:23,Estonia,url exists,None
2026-01-28-10:08:30,Estonia,url exists,None
2026-01-28-10:08:37,Estonia,url exists,None
2026-01-28-10:08:44,Estonia,url exists,None
2026-01-28-10:08:51,Estonia,url exists,None
2026-01-28-10:08:58,Estonia,url exists,None
2026-01-28-10:09:35,Estonia,url exists,None
2026-01-28-14:07:53,Estonia,url exists,None
2026-01-28-14:08:00,Estonia,url exists,None
2026-01-28-14:08:08,Estonia,url exists,None
2026-01-28-14:08:17,Estonia,url exists,None
2026-01-28-14:08:27,Estonia,url exists,None
2026-01-28-14:08:34,Estonia,url exists,None
2026-01-28-14:08:46,Estonia,url exists,None
2026-01-28-14:08:58,Estonia,url exists,None
2026-01-28-14:09:34,Estonia,url exists,None
2026-01-28-14:09:48,Estonia,url exists,None
2026-01-28-14:09:55,Estonia,url exists,None
2026-01-28-14:10:02,Estonia,url exists,None
2026-01-28-14:10:09,Estonia,url exists,None
2026-01-28-14:10:26,Estonia,url exists,None
2026-01-28-16:04:18,Estonia,world,None
2026-01-28-16:04:21,Estonia,world,None
2026-01-28-16:04:28,Estonia,url exists,None
2026-01-28-16:04:51,Estonia,url exists,None
2026-01-28-16:04:58,Estonia,url exists,None
2026-01-28-16:05:05,Estonia,url exists,None
2026-01-28-16:05:12,Estonia,url exists,None
2026-01-28-16:05:19,Estonia,url exists,None
2026-01-28-16:05:26,Estonia,url exists,None
2026-01-28-16:05:38,Estonia,url exists,None
2026-01-28-16:05:50,Estonia,url exists,None
2026-01-28-16:05:57,Estonia,url exists,None
2026-01-28-16:06:04,Estonia,url exists,None
2026-01-28-16:06:11,Estonia,url exists,None
2026-01-28-19:22:17,Estonia,url exists,None
2026-01-28-19:22:25,Estonia,url exists,None
2026-01-28-19:22:33,Estonia,url exists,None
2026-01-28-19:22:43,Estonia,url exists,None
2026-01-28-19:22:50,Estonia,url exists,None
2026-01-28-19:23:23,Estonia,url exists,None
2026-01-28-19:23:35,Estonia,url exists,None
2026-01-28-19:23:48,Estonia,url exists,None
2026-01-28-19:24:01,Estonia,url exists,None
2026-01-28-19:24:15,Estonia,url exists,None
2026-01-28-19:25:01,Estonia,url exists,None
2026-01-28-19:25:09,Estonia,url exists,None
2026-01-28-19:25:16,Estonia,url exists,None
2026-01-28-22:15:17,Estonia,url exists,None
2026-01-28-22:15:24,Estonia,url exists,None
2026-01-28-22:15:33,Estonia,url exists,None
2026-01-28-22:16:29,Estonia,url exists,None
2026-01-28-22:16:38,Estonia,url exists,None
2026-01-28-22:16:48,Estonia,url exists,None
2026-01-28-22:17:25,Estonia,url exists,None
2026-01-28-22:17:33,Estonia,url exists,None
2026-01-28-22:17:46,Estonia,url exists,None
2026-01-28-22:17:57,Estonia,url exists,None
2026-01-28-22:18:35,Estonia,no popup,Timeout 30000ms exceeded.
2026-01-28-22:18:48,Estonia,url exists,None
2026-01-28-22:19:03,Estonia,url exists,None
2026-01-28-22:19:21,Estonia,url exists,None
2026-01-29-04:55:49,Estonia,url exists,None
2026-01-29-04:56:10,Estonia,url exists,None
2026-01-29-04:56:18,Estonia,url exists,None
2026-01-29-04:56:25,Estonia,url exists,None
2026-01-29-04:56:34,Estonia,url exists,None
2026-01-29-04:56:42,Estonia,url exists,None
2026-01-29-04:56:49,Estonia,url exists,None
2026-01-29-04:56:59,Estonia,url exists,None
2026-01-29-04:57:12,Estonia,url exists,None
2026-01-29-04:57:19,Estonia,url exists,None
2026-01-29-04:57:57,Estonia,url exists,None
2026-01-29-04:58:36,Estonia,url exists,None
2026-01-29-08:12:08,Estonia,url exists,None
2026-01-29-08:12:25,Estonia,world,None
2026-01-29-08:12:45,Estonia,url exists,None
2026-01-29-08:12:53,Estonia,url exists,None
2026-01-29-08:13:00,Estonia,url exists,None
2026-01-29-08:13:07,Estonia,url exists,None
2026-01-29-08:13:14,Estonia,url exists,None
2026-01-29-08:13:21,Estonia,url exists,None
2026-01-29-08:13:28,Estonia,url exists,None
2026-01-29-08:14:07,Estonia,name,"Locator.fill: Timeout 30000ms exceeded.
Call log:
"
2026-01-29-08:14:37,Estonia,start,"Locator.click: Timeout 30000ms exceeded.
Call log:"
2026-01-29-08:14:48,Estonia,url exists,None
2026-01-29-08:15:00,Estonia,url exists,None
2026-01-29-11:05:11,Estonia,url exists,None
2026-01-29-11:05:18,Estonia,url exists,None
2026-01-29-11:05:28,Estonia,url exists,None
2026-01-29-11:05:38,Estonia,url exists,None
2026-01-29-11:05:48,Estonia,url exists,None
2026-01-29-11:05:56,Estonia,url exists,None
2026-01-29-11:06:06,Estonia,url exists,None
2026-01-29-11:06:18,Estonia,url exists,None
2026-01-29-11:06:55,Estonia,no popup,Timeout 30000ms exceeded.
2026-01-29-11:07:07,Estonia,url exists,None
2026-01-29-11:07:19,Estonia,url exists,None
2026-01-29-11:07:33,Estonia,url exists,None
2026-01-29-11:07:48,Estonia,url exists,None
2026-01-29-11:08:04,Estonia,url exists,None
2026-01-29-11:08:20,Estonia,url exists,None
2026-01-29-11:08:21,Estonia,no images,None
2026-01-29-14:27:46,Estonia,url exists,None
2026-01-29-14:27:52,Estonia,url exists,None
2026-01-29-14:28:00,Estonia,url exists,None
2026-01-29-14:28:09,Estonia,url exists,None
2026-01-29-14:28:19,Estonia,url exists,None
2026-01-29-14:28:29,Estonia,url exists,None
2026-01-29-14:28:41,Estonia,url exists,None
2026-01-29-14:29:18,Estonia,url exists,None
2026-01-29-14:29:55,Estonia,no popup,Timeout 30000ms exceeded.
2026-01-29-14:30:06,Estonia,url exists,None
2026-01-29-14:30:50,Estonia,url exists,None
2026-01-29-14:31:03,Estonia,url exists,None
2026-01-29-14:31:17,Estonia,url exists,None
2026-01-29-14:31:33,Estonia,url exists,None
2026-01-29-17:12:18,Estonia,url exists,None
2026-01-29-17:12:25,Estonia,url exists,None
2026-01-29-17:12:33,Estonia,url exists,None
2026-01-29-17:12:41,Estonia,url exists,None
2026-01-29-17:12:48,Estonia,url exists,None
